,Ticker,Company,Segment,Exchange,Weighting (%),yf_ticker
221,SSE: 688396,China Resources Microelectronics,Information Technology,Shanghai,0.127,688396.SS
222,SZSE: 300496,Thunder Software Technology,Information Technology,Shenzhen,0.125,300496.SZ
223,SZSE: 000733,China Zhenhua (Group) Science &  Technology,Information Technology,Shenzhen,0.124,000733.SZ
224,SSE: 601877,Zhejiang Chint Electrics,Industrials,Shanghai,0.124,601877.SS
225,SSE: 600233,YTO Express Group,Industrials,Shanghai,0.123,600233.SS
226,SZSE: 000999,China Resources Sanjiu Medical & Pharmaceutical,Health Care,Shenzhen,0.122,000999.SZ
227,SSE: 600219,Shandong Nanshan Aluminium,Materials,Shanghai,0.122,600219.SS
228,SZSE: 002007,Hualan Biological Engineering,Health Care,Shenzhen,0.121,002007.SZ
229,SSE: 600023,Zhejiang Zheneng Electric Power,Utilities,Shanghai,0.121,600023.SS
230,SZSE: 002074,GUOXUAN HIGH-TECH,Industrials,Shenzhen,0.118,002074.SZ
231,SZSE: 002202,Xinjiang Goldwind Science & Technology,Industrials,Shenzhen,0.118,002202.SZ
232,SZSE: 300759,Pharmaron Beijing,Health Care,Shenzhen,0.117,300759.SZ
233,SSE: 600332,Guangzhou Baiyunshan Pharmaceutical Holdings,Health Care,Shanghai,0.117,600332.SS
234,SSE: 603806,HANGZHOU FIRST PV MATERIAL,Information Technology,Shanghai,0.116,603806.SS
235,SSE: 600362,Jiangxi Copper,Materials,Shanghai,0.114,600362.SS
236,SZSE: 000876,New Hope Liuhe,Consumer Staples,Shenzhen,0.113,000876.SZ
237,SSE: 600183,Shengyi Technology,Information Technology,Shanghai,0.113,600183.SS
238,SSE: 601607,Shanghai Pharmaceuticals Holding,Health Care,Shanghai,0.113,601607.SS
239,SSE: 601799,Changzhou Xingyu Automotive Lighting  Systems,Consumer Discretionary,Shanghai,0.113,601799.SS
240,SZSE: 301269,Empyrean Technology,Information Technology,Shenzhen,0.111,301269.SZ
241,SSE: 601238,Guangzhou Automobile Group,Consumer Discretionary,Shanghai,0.111,601238.SS
242,SSE: 601878,ZHESHANG SECURITIES,Financials,Shanghai,0.111,601878.SS
243,SSE: 601998,China Citic Bank,Financials,Shanghai,0.111,601998.SS
244,SSE: 600918,Zhongtai Securities,Financials,Shanghai,0.109,600918.SS
245,SZSE: 300999,Yihai Kerry,Consumer Staples,Shenzhen,0.108,300999.SZ
246,SZSE: 300223,Ingenic Semiconductor,Information Technology,Shenzhen,0.106,300223.SZ
247,SSE: 603260,Hoshine Silicon Industry,Materials,Shanghai,0.105,603260.SS
248,SSE: 688303,XinJiang Daqo New Energy,Information Technology,Shanghai,0.105,688303.SS
249,SZSE: 300413,Mango Excellent Media,Communication,Shenzhen,0.104,300413.SZ
250,SSE: 601615,MingYangSmartEnergyGroup,Industrials,Shanghai,0.104,601615.SS
251,SZSE: 002410,Glodon Software,Information Technology,Shenzhen,0.102,002410.SZ
252,SSE: 600875,Dongfang Electric Corporation,Industrials,Shanghai,0.102,600875.SS
253,SZSE: 002603,Shijiazhuang Yiling Pharmaceutical,Health Care,Shenzhen,0.101,002603.SZ
254,SSE: 600061,SDIC Essence,Financials,Shanghai,0.099,600061.SS
255,SSE: 688223,Jinko Solar,Information Technology,Shanghai,0.099,688223.SS
256,SSE: 600460,Hangzhou Silan Microelectronics,Information Technology,Shanghai,0.098,600460.SS
257,SSE: 600803,ENN Ecological Holdings,Utilities,Shanghai,0.098,600803.SS
258,SZSE: 300751,Suzhou Maxwell Technologies,Information Technology,Shenzhen,0.095,300751.SZ
259,SSE: 600025,HuanengLancang River Hydropower,Utilities,Shanghai,0.094,600025.SS
260,SSE: 601319,People's Insurance Company of China,Financials,Shanghai,0.094,601319.SS
261,SZSE: 002841,Guangzhou Shiyuan Electronic Technology  Company,Information Technology,Shenzhen,0.093,002841.SZ
262,SSE: 600732,Shanghai Aiko Solar Energy,Information Technology,Shanghai,0.093,600732.SS
263,SSE: 603659,Shanghai Putailai New Energy  Technology,Materials,Shanghai,0.09,603659.SS
264,SZSE: 300454,Sangfor Technologies,Information Technology,Shenzhen,0.089,300454.SZ
265,SZSE: 300919,CNGR Advanced Material,Materials,Shenzhen,0.089,300919.SZ
266,SSE: 600132,Chongqing Brewery,Consumer Staples,Shanghai,0.089,600132.SS
267,SZSE: 000617,CNPC Capital Company,Financials,Shenzhen,0.088,000617.SZ
268,SZSE: 300763,Ginlong Technologies,Industrials,Shenzhen,0.088,300763.SZ
269,SZSE: 000069,Shenzhen Overseas Chinese Town Company,Real Estate,Shenzhen,0.085,000069.SZ
270,SSE: 600018,Shanghai International Port Group,Industrials,Shanghai,0.085,600018.SS
271,SZSE: 000708,CITIC Pacific Special Steel Group,Materials,Shenzhen,0.083,000708.SZ
272,SZSE: 300628,YEALINK NETWORK TECHNOLOGY  CORPORATION,Information Technology,Shenzhen,0.083,300628.SZ
273,SZSE: 002938,Avary Holding (Shenzhen) Co,Information Technology,Shenzhen,0.082,002938.SZ
274,SZSE: 002916,Shennan Circuits,Information Technology,Shenzhen,0.081,002916.SZ
275,SSE: 605117,Ningbo Deye Technology,Industrials,Shanghai,0.081,605117.SS
276,SSE: 600039,Sichuan Road&Bridge,Industrials,Shanghai,0.08,600039.SS
277,SSE: 605499,Eastroc Beverage (Group),Consumer Staples,Shanghai,0.08,605499.SS
278,SSE: 603195,GONGNIU GROUP,Industrials,Shanghai,0.077,603195.SS
279,SSE: 600754,Shanghai Jin Jiang International Hotels,Consumer Discretionary,Shanghai,0.075,600754.SS
280,SSE: 603899,SHANGHAI M&G STATIONERY,Industrials,Shanghai,0.074,603899.SS
281,SSE: 603290,StarPower Semiconductor,Information Technology,Shanghai,0.073,603290.SS
282,SSE: 603833,Oppein Home Group,Consumer Discretionary,Shanghai,0.071,603833.SS
283,SSE: 601865,Flat Glass Group,Information Technology,Shanghai,0.07,601865.SS
284,SSE: 688363,Bloomage Biotechnology Corporation,Health Care,Shanghai,0.069,688363.SS
285,SZSE: 000877,Xinjiang Tianshan Cement,Materials,Shenzhen,0.067,000877.SZ
286,SSE: 688065,Cathay Biotech,Materials,Shanghai,0.063,688065.SS
287,SZSE: 300957,Yunnan Botanee Bio-Technology Group,Consumer Staples,Shenzhen,0.062,300957.SZ
288,SSE: 601236,HONGTA SECURITIES,Financials,Shanghai,0.062,601236.SS
289,SSE: 601698,China Satellite Communications,Communication,Shanghai,0.06,601698.SS
290,SSE: 688187,Zhuzhou CRRC Times Electric,Industrials,Shanghai,0.057,688187.SS
291,SSE: 688561,Qi An Xin Technology Group,Information Technology,Shanghai,0.054,688561.SS
292,SSE: 601155,Future Land Holdings,Real Estate,Shanghai,0.053,601155.SS
293,SSE: 600606,China Development Holdings,Real Estate,Shanghai,0.052,600606.SS
294,SZSE: 300979,Huali Industrial Group Company,Consumer Discretionary,Shenzhen,0.049,300979.SZ
295,SSE: 601808,China Oilfield Services,Energy,Shanghai,0.048,601808.SS
296,SSE: 603486,Ecovacs Robotics,Consumer Discretionary,Shanghai,0.048,603486.SS
297,SZSE: 000800,FAW Car,Industrials,Shenzhen,0.046,000800.SZ
298,SSE: 601059,CINDA SECURITIES,Financials,Shanghai,0.031,601059.SS
299,SZSE: 001289,China Longyuan Power Group Limited,Utilities,Shenzhen,0.016,001289.SZ
